date,Total New Cases
25/01/21,0
26/01/21,0
27/01/21,0
28/01/21,0
29/01/21,0
30/01/21,0
31/01/21,15775937
01/02/21,0
02/02/21,0
03/02/21,0
04/02/21,0
05/02/21,0
06/02/21,0
07/02/21,13359558
08/02/21,0
09/02/21,0
10/02/21,0
11/02/21,0
12/02/21,0
13/02/21,0
14/02/21,11477705
15/02/21,0
16/02/21,0
17/02/21,0
18/02/21,0
19/02/21,0
20/02/21,0
21/02/21,10506669
22/02/21,0
23/02/21,0
24/02/21,0
25/02/21,0
26/02/21,0
27/02/21,0
28/02/21,11354962
01/03/21,0
02/03/21,0
03/03/21,0
04/03/21,0
05/03/21,0
06/03/21,0
07/03/21,11727488
08/03/21,0
09/03/21,0
10/03/21,0
11/03/21,0
12/03/21,0
13/03/21,0
14/03/21,12731875
15/03/21,0
16/03/21,0
17/03/21,0
18/03/21,0
19/03/21,0
20/03/21,0
21/03/21,14319262
22/03/21,0
23/03/21,0
24/03/21,0
25/03/21,0
26/03/21,0
27/03/21,0
28/03/21,16460498
29/03/21,0
30/03/21,0
31/03/21,0
01/04/21,0
02/04/21,0
03/04/21,0
04/04/21,17545167
05/04/21,0
06/04/21,0
07/04/21,0
08/04/21,0
09/04/21,0
10/04/21,0
11/04/21,19183033
12/04/21,0
13/04/21,0
14/04/21,0
15/04/21,0
16/04/21,0
17/04/21,0
18/04/21,21854056
19/04/21,0
20/04/21,0
21/04/21,0
22/04/21,0
23/04/21,0
24/04/21,0
25/04/21,23602528
26/04/21,0
27/04/21,0
28/04/21,0
29/04/21,0
30/04/21,0
01/05/21,0
02/05/21,23463222
03/05/21,0
04/05/21,0
05/05/21,0
06/05/21,0
07/05/21,0
08/05/21,0
09/05/21,22410881
10/05/21,0
11/05/21,0
12/05/21,0
13/05/21,0
14/05/21,0
15/05/21,0
16/05/21,19668516
17/05/21,0
18/05/21,0
19/05/21,0
20/05/21,0
21/05/21,0
22/05/21,0
23/05/21,17206935
24/05/21,0
25/05/21,0
26/05/21,0
27/05/21,0
28/05/21,0
29/05/21,0
30/05/21,14429162
31/05/21,0
01/06/21,0
02/06/21,0
03/06/21,0
04/06/21,0
05/06/21,0
06/06/21,12213174
07/06/21,0
08/06/21,0
09/06/21,0
10/06/21,0
11/06/21,0
12/06/21,0
13/06/21,10718953
14/06/21,0
15/06/21,0
16/06/21,0
17/06/21,0
18/06/21,0
19/06/21,0
20/06/21,10237941
21/06/21,0
22/06/21,0
23/06/21,0
24/06/21,0
25/06/21,0
26/06/21,0
27/06/21,10608406
28/06/21,0
29/06/21,0
30/06/21,0
01/07/21,0
02/07/21,0
03/07/21,0
04/07/21,11190467
05/07/21,0
06/07/21,0
07/07/21,0
08/07/21,0
09/07/21,0
10/07/21,0
11/07/21,13427000
12/07/21,0
13/07/21,0
14/07/21,0
15/07/21,0
16/07/21,0
17/07/21,0
18/07/21,14827017
19/07/21,0
20/07/21,0
21/07/21,0
22/07/21,0
23/07/21,0
24/07/21,0
25/07/21,15497690
26/07/21,0
27/07/21,0
28/07/21,0
29/07/21,0
30/07/21,0
31/07/21,0
01/08/21,17033628
02/08/21,0
03/08/21,0
04/08/21,0
05/08/21,0
06/08/21,0
07/08/21,0
08/08/21,18115598
09/08/21,0
10/08/21,0
11/08/21,0
12/08/21,0
13/08/21,0
14/08/21,0
15/08/21,18509897
16/08/21,0
17/08/21,0
18/08/21,0
19/08/21,0
20/08/21,0
21/08/21,0
22/08/21,18812251
23/08/21,0
24/08/21,0
25/08/21,0
26/08/21,0
27/08/21,0
28/08/21,0
29/08/21,18683514
30/08/21,0
31/08/21,0
01/09/21,0
02/09/21,0
03/09/21,0
04/09/21,0
05/09/21,17811756
06/09/21,0
07/09/21,0
08/09/21,0
09/09/21,0
10/09/21,0
11/09/21,0
12/09/21,16062724
13/09/21,0
14/09/21,0
15/09/21,0
16/09/21,0
17/09/21,0
18/09/21,0
19/09/21,15063575
20/09/21,0
21/09/21,0
22/09/21,0
23/09/21,0
24/09/21,0
25/09/21,0
26/09/21,14337773
27/09/21,0
