Source,Target ,Type,Attribute,Value,SourceType,TargetType
2010/03,2010/07,Temporary-Temporary,Term,3,Temporary,Temporary
2010/04,2010/07,Temporary-Temporary,Term,3,Temporary,Temporary
2010/05,2010/07,Temporary-Temporary,Term,3,Temporary,Temporary
2010/06,2010/07,Temporary-Temporary,Term,3,Temporary,Temporary
2009/06,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2009/07,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2009/08,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2009/09,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2009/10,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2009/11,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2009/12,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2010/01,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2010/02,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2010/03,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2010/04,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2010/05,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2010/06,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2010/07,2010/08,Temporary-Temporary,Term,3,Temporary,Temporary
2010/09,2010/10,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2010/11,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2010/11,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2010/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2010/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2010/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2011/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2011/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2011/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2011/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2011/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2011/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2011/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2011/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2011/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2011/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2011/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2011/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2011/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2011/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2011/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2011/08,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2011/09,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2011/10,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
